representative_label_by_embedding,count,representative_label_by_count,count,total_count,cluster
feat,3,bug,14650,24962,"['bug', 'enhancement', 'dependency update', 'feature request', 'dependency upgrade', 'feature', 'upgrade', 'improvement', 'suggestion', 'type bug', 'bugs', 'release', 'framework upgrade', 'suggest', 'upgrades', 'library update', 'design', 'api proposal', 'update', 'proposal', 'plugin update', 'features', 'library upgrade', 'api enhancement', 'release notes', 'api improvement', 'unstable features', 'type:bug', 'release management', 'new feature', 'plugin upgrade', 'release process', 'versioning', 'featurerequest', 'suggestions', 'type improvement', 'feature discussion', 'quickfix', 'type feature', 'type:enhancement', 'type: bug', 'test improvement', 'source control', 'api update', 'type/bug', 'type/improvement', 'type/feature', 'target feature', 'target features', 'test enhancement', 'unstable feature', 'feature index', 'dependencyupgrade', 'release workflow', 'type enhancement', 'changelog', 'dependencyupdate', 'type/enhancement', 'rolling upgrade', 'version tracking', 'issue', 'quick fix', 'auto update', 'scm', 'kind/enhancement', 'vcs', 'release build', 'feature management', 'c enhancement', 'feature proposal', 'dependency check', 'feature gate', 'fix', 'feature flag', 'type: enhancement', 'model issue', 'type:feature', 'type feature request', 'upgrade policy', 'upgrading', 'ci improvement', 'workaround', 'bug fix', 'api upgrade', 'severity:minor', 'versiontracking', 'issue tracking', 'issue comment', 'issues', 'packageissue', 'version', 'source management', 'self update', 'experimental feature', 'type: feature request', 'bug report', 'ci issue', 'tracking issue', 'type: feature', 'bugfix', 'type:feature request', 'import issue', 'package issue', 'upgrade issue', 'version management', 'type: issue', 'component issue', 'type:dependency upgrade', 'type: bugfix', 'suggest widget', 'version control', 'feat', 'library features', 'type:upgrade', 'functional issue', 'category:feature request', 'release blocker', 'library proposal', 'feature flags', 'feature bug', 'type system bug', 'const features', 'experimental features', 'fix it', 'bug introduction', 'issue type/bug', 'type: improvement', 'category feature request', 'type:issue', 'bug fix request', 'dependency bump', 'bug fix version upgrade', 'release note', 'topic: versioning', 'process improvement', 'feature requests', 'type:release note', 'minor issue', 'client upgrade', 'version bump', 'general improvement', 'revision history', 'minor', 'design proposal', 'minor bug', 'feature change', 'canary build', 'go release', 'design discussion', 'suggest change', 'release candidate', 'good first issue', 'upgrade required', 'issue template', 'enhanced classes', 'external issue tracker', 'issue list', 'prerelease', 'design change', 'c bug', 'ui suggestion', 'api suggestion', 'content update', 'error suggestion', 'suggestion improvement', 'test update', 'ui upgrade', 'suggest fix', 'fix needed', 'patch release', 'issue report', 'version upgrade', 'pre release', 'upgrade regression', 'enum update', 'functional bug', 'command suggestion', 'user suggestion', 'dependencies upgrade', 'dependencies update', 'image upgrade', 'upgrade issues', 'advice']"
documentation,2591,documentation,2591,3222,"['documentation', 'docs', 'doc', 'content', 'adoc', 'javadoc', 'asciidoc', 'doc improvement', 'jsdoc', 'doc tests', 'doc issue', 'content model', 'content adapters', 'content negotiation', 'content script', 'content management', 'content adapter', 'content processing', 'xcontent', 'missing', 'type: documentation', 'adapter', 'documentation bug', 'autodoc', 'domain: documentation', 'documentation issue', 'domain:documentation', 'category: documentation', 'documentation inconsistency', 'topic/documentation', 'doc content', 'documentation generation', 'type:documentation', 'topic:documentation', 'content structure', 'content length', 'doc bug', 'content issue', 'missing content', 'content error', 'doc test', 'documentation needed', 'documentation suggestion', 'doc suggestion', 'doc link', 'content missing', 'documentation request']"
testing,1629,testing,1629,5550,"['test failure', 'testing', 'test', 'integration', 'integration test', 'testfailure', 'flaky', 'assertionerror', 'junit', 'assertion', 'assertion failure', 'flaky test', 'test framework', 'test runner', 'integration tests', 'assertion error', 'test failures', 'test infrastructure', 'ci test failure', 'test flaky', 'test suite', 'tests', 'ci failure', 'smoke test', 'unittest', 'test explorer', 'assert', 'jest', 'failure', 'expected behavior', 'test related', 'ui tests', 'test infra', 'unit testing', 'regtest', 'system tests', 'unit tests', 'test issue', 'integrationtests', 'integrationtest', 'unit test', 'assertion library', 'test results', 'visual regression', 'synctest', 'task failure', 'debug assertions', 'expect', 'integration issue', 'test case', 'test execution', 'storybook', 'unit test failure', 'archunit', 'selenium', 'test strategy', 'web testing', 'it test', 'test integration', 'assertj', 'import failure', 'playwright', 'api integration', 'test flakiness', 'integration testing', 'testkit', 'domain: testing', 'domain:testing', 'testing issue', 'testing failure', 'assertions', 'area: testing', 'test/failure', 'domain/testing', 'topic: testing', 'compiler assertion', 'testing infrastructure', 'snapshot testing', 'parallel testing', 'ui test', 'ui automation', 'test flake', 'speculation', 'test logic', 'functional test', 'functional tests', 'test environment', 'system test', 'integ test', 'test kit', 'integration test failure', 'async test', 'htmlunit', 'disabled test', 'unittest failure', 'web driver', 'testability', 'regression test', 'third party integration', 'flaky tests', 'test bug', 'test configuration', 'jsonassert', 'profile integ tests', 'concurrent test', 'junit jupiter', 'webtestclient']"
compiler error,493,compiler,1145,3237,"['compiler', 'compiler error', 'compile error', 'jit', 'compiler bug', 'compile time', 'compilation', 'llvm', 'compiler behavior', 'compile', 'compiler internal', 'compiler warning', 'compilation error', 'f compiler', 'f compiler error', 'compiletest', 't compiler', 'compiler suggestion', 'compiler crash', 'compile time error', 'precompilation', 'compiler errors', 'compiling', 'compiler rt', 'compilers', 'compiler feedback', 'compiler frontend', 'compiler panic', 'a compiler', 'compiler issue', 'compiler diagnostics', 'compile test', 't compiler error', 'f compiler errors', 'f compiler internal', 'cranelift', 'compiler warnings', 'compiler design', 'compilation time', 'miscompilation', 'compile time issue', 'recompilation', 'compile time behavior', 'compiler specific', 'compiler compatibility', 'compiler internal error', 'compiler interaction', 'internal compiler error', 'compiler regression', 'compiler message', 'miscompile', 'a llvm', 'compiler feature', 'compilererror', 'java compiler', 'compilation issue', 'jit compilation', 'internalcompilererror', 'compiler flags', 'cmd compile', 'domain: compiler', 'language compiler', 'llvm ir', 'conditional compilation', 'compiler issues', 'compiler bugs', 'compiler features', 'compiler implementation', 'jit compiler', 'just in time', 'php compiler', 'compilation bug', 'compiler configuration', 'compile failure', 'compilation failure', 'compiler verification', 'backend compiler failed', 'category: compilation', 'model compilation', 'library compilation', 'compiler diagnostic', 'jit issue', 'compile fail', 'function compilation']"
ui,1340,ui,1340,2864,"['ui', 'user interface', 'gui', 'user experience', 'ui bug', 'hover', 'output', 'preview', 'display', 'focus', 'usability', 'ui issue', 'view', 'feedback', 'ui ux', 'visual', 'tooltip', 'user facing', 'content projection', 'ui enhancement', 'interactive', 'ui improvement', 'visibility', 'input focus', 'ui feedback', 'ui/ux', 'user', 'preview window', 'display issue', 'screen', 'ui design', 'inlay hints', 'extension interaction', 'image preview', 'graphics', 'views', 'ui interaction', 'visual bug', 'visualization', 'inlay hint', 'interaction', 'focus mode', 'hud', 'vision', 'ui component', 'transparency', 'ui feature', 'user feedback', 'v dialog', 'hint', 'plugin interaction', 'ui components', 'visual issue', 'domain:ui', 'ux improvement', 'ui behavior', 'domain: ui', 'domain: user interface', 'projection', 'ui customization', 'domain: user experience', 'ux feedback', 'ui appearance', 'user interfaces', 'user guide', 'user interaction', 'gui improvement', 'focus issue', 'ux issue', 'user consent', 'viewport', 'focus management', 'rollover', 'gui issue', 'ui preview', 'visibility issue', 'ui issues', 'ui look and feel', 'ui change', 'browser interaction', 'output view', 'ui glitch', 'ui bugs', 'feature interaction']"
build,895,build,895,1939,"['build', 'build system', 'build failure', 'build tools', 'build process', 'build error', 'build issue', 'build tool', 'build performance', 't build system', 'build tooling', 'build related', 'rmake', 'build info', 'build issues', 'buildinfo', 'build tags', 'production', 'build id', 'buildmode', 'mksnapshot', 'aux build', 'build script', 'builder', 'makefile', 'build tag', 'domain:build', 'domain: build', 'build configuration', 'make', 'domain:build tool', 'production issue', 'topic:build', 'production build', 'domain: build tool', 'package build', 'build problem', 'build mode', 'build std', 'build tool configuration', 'build output', 'build test', 'build time', 'production bug', 'production mode', 'run make', 'build pack', 'build helper']"
api,829,api,829,1454,"['api', 'api change', 'api design', 'breaking change', 'client', 'change detection', 'api documentation', 'api breaking change', 'api reference', 'api docs', 'api error', 'api usage', 'api issue', 'api breaking', 'type api', 'api consistency', 'endpoint', 'client side', 'api missing', 'api review', 'usage', 'client side navigation', 'changedetection', 'api doc', 'type api change', 'endpoints', 'review', 'api testing', 'n api', 'api stability', 'library usage', 'api regression', 'api bug', 'change point', 'api access', 'entrypoint', 'client api', 'domain: api', 'type/breaking change', 'api exposure', 'labels: api', 'domain: api design', 'topic: api', 'category: api', 'topic: api change', 'type: api change', 'entrypoints', 'type change', 'public api', 'api client', 'api evolution', 'api use']"
type: optimization,2,performance,1955,3064,"['performance', 'optimization', 'optimizer', 'perf', 'compiler optimization', 'benchmark', 'optimizers', 'performance regression', 'runtime performance', 'efficiency', 'tunableops', 'benchmarks', 'autotune', 'autotuning', 'tunableop', 'torchtune', 'benchmarking', 'graph optimization', 'performance issue', 'performance optimization', 'productivity', 'domain: performance', 'mir optimization', 'performance improvement', 'topic: optimization', 'slow performance', 'domain:performance', 'category performance', 'model optimization', 'performance monitoring', 'web performance', 'compiler optimizations', 'performance metrics', 'topic:optimization', 'topic performance', 'cpu optimization', 'type: optimization', 'topic:performance', 'domain: optimization', 'optimization issue', 'optimizations', 'hparams', 'performance issues', 'optimizer state']"
core,216,ci,744,2285,"['ci', 'tooling', 'core', 'infrastructure', 'internal', 'tools', 'framework', 'io', 'ci cd', 'devtools', 'interface', 'tool', 'util', 'ci/cd', 'utils', 'insiders', 'ide features', 'dev server', 'x tools', 'intrinsics', 'area core', 'developer experience', 'framework integration', 'libcore', 'compiler builtins', 'cfi', 'utility', 'domain core', 'ide feature', 'infra', 'ide integration', 'compiler intrinsic', 'intrinsic', 'internals', 'area: core', 'utility classes', 'utilities', 'dev services', 'continuous integration', 'ci test', 'intrinsic function', 'dev experience', 'internal representation', 'internal api', 'dev settings', 'ipc', 'implementation', 'devx', 'core logic', 'dev mode', 'implementation detail', 'dev tools', 'ci build', 'ide support', 'ioc', 'tool interaction', 'development', 'domain:ci', 'domain: tooling', 'core lib', 'core language', 'domain: core', 'tooling issue', 'topic: ci', 'development tool', 'core library', 'utility class', 'core functionalities', 'python tooling', 'development mode', 'local development', 'domain: infrastructure', 'domain:infrastructure', 'domain: ci', 'development tools', 'core libraries', 'interning', 'core development', 'category:ci', 'framework configuration', 'oci', 'core functionality', 'developer tools', 'insider build', 'internal tool', 'helper', 'ci pipeline', 'core framework', 'builtin', 'ci update', 'internal package', 'tool management', 'impl', 'ci integration', 'ci infrastructure', 'internal tests', 'ci system tests', 'core function']"
error,270,crash,644,3096,"['runtime', 'runtime error', 'crash', 'error', 'error message', 'error handling', 'runtimeerror', 'runtime panic', 'exception', 'import error', 'runtime behavior', 'exception handling', 'runtime issue', 'internal error', 'core dump', 'runtime crash', 'errors', 'error reporting', 'runtime errors', 'server error', 'type crash', 'methoderror', 'fatal error', 'fatalerror', 'var dump', 'runtime test', 'odr violation', 'import errors', 'internalerror', 'error page', 'runtime warning', 'backend issues', 'http error', 'runtime hints', 'runtime exception', 'exception message', 'logic error', 'exceptions', 'errorhandling', 'dump', 'error report', 'invalid input', 'application crash', 'crash report', 'java exception', 'invalid code', 'access violation', 'crashes', 'unexpected error', 'internal server error', 'error messages', 'crash reporting', 'crashmonitor', 'type: error message', 'runtime issues', 'domain: runtime', 'logical error', 'invalid program', 'invalid usage', 'lowering exception', 'application runtime', 'runtime environment', 'programming error', 'invalid data', 'edge runtime', 'protocol violation', 'backend issue', 'backend failure', 'name error']"
