representative_label_by_embedding,count,representative_label_by_count,count,total_count,cluster
issue,106,bug,14650,16086,"['bug', 'bugs', 'build issue', 'runtime issue', 'link issue', 'driver issue', 'download issue', 'rustc bug', 'type: bug', 'plugin issue', 'extension issues', 'extension issue', 'build issues', 'format issue', 'abi issue', 'doc issue', 'template issue', 'test issue', 'parser issue', 'issue', 'display issue', 'translation issue', 'integration issue', 'model issue', 'backend issues', 'css issue', 'bug fix', 'rendering issue', 'analysis issue', 'issue tracking', 'issue comment', 'issues', 'login issue', 'parser bug', 'install issue', 'documentation bug', 'bug report', 'ci issue', 'installation issue', 'compilation issue', 'tracking issue', 'language bug', 'sync issue', 'configuration issue', 'documentation issue', 'import issue', 'connection issue', 'lifetime issue', 'compatibility issue', 'package issue', 'lifetime issues', 'upgrade issue', 'testing issue', 'windows issue', 'network issue', 'path issue', 'tooling issue', 'toolchain issue', 'encoding issue', 'linking issue', 'type: issue', 'accuracy issue', 'migration issue', 'general issue', 'cache issue', 'language issue', 'lint issue', 'attribute issue', 'cuda issue', 'tensor issue', 'functional issue', 'cross platform issue', 'plugin issues', 'database issue', 'uv issue', 'accessibility issues', 'production issue', 'cgo issue', 'alignment issue', 'runtime issues', 'lsp issue', 'feature bug', 'compilation bug', 'diagnostic issue', 'rustc issue', 'setup issue', 'reference issue', 'generic issue', 'bug introduction', 'issue type/bug', 'sanitizer issue', 'crates issue', 'pytorch issues', 'pytorch issue', 'graph issue', 'numerical issues', 'layout issue', 'numerical issue', 'styling issue', 'bug fix request', 'optimization issue', 'completion issue', 'decompiler bug', 'disassembly issue', 'ghidra bug', 'decompilation issue', 'storage issue', 'stdlib issue', 'build problem', 'query issue', 'focus issue', 'ux issue', 'reproducible issue', 'save issue', 'bundling issue', 'metadata issue', 'refresh issue', 'concurrency issue', 'formatting issue', 'url issue', 'doc bug', 'javascript issue', 'resolver issue', 'search issue', 'async issue', 'content issue', 'website issue', 'gpu issue', 'path issues', 'routing issue', 'blocking issue', 'good first issue', 'mapping issue', 'date format issue', 'consistency issue', 'issue template', 'classloader issue', 'debugging issue', 'conversion issue', 'external issue tracker', 'issue list', 'video issue', 'browser issue', 'jit issue', 'visibility issue', 'c bug', 'debugger issue', 'generic issues', 'issue porting', 'binding issue', 'keyboard issue', 'auth issue', 'target issue', 'backend issue', 'dtype issue', 'classpath issue', 'codec issue', 'a11y issues', 'issue report', 'extension bug', 'rendering issues', 'redirect issue', 'production bug', 'os issue', 'os issues', 'cleanup issue', 'layout problem', 'functional bug', 'test bug', 'upgrade issues', 'filesystem issue', 'decompiler issue', 'table issue', 'schedule issue', 'upload issue', 'platform issue', 'coloring issue']"
enhancement,1655,enhancement,1655,1851,"['enhancement', 'proposal', 'type: enhancement', 'standardization']"
documentation,2591,documentation,2591,3040,"['documentation', 'docs', 'doc', 'wiki', 'tutorial', 'javadoc', 'examples', 'spring rest docs', 'readme', 'changelog', 'rest docs', 'intra doc links', 'pytorch docs', 'guides', 'type: documentation', 'domain: documentation', 'category: documentation', 'documentation inconsistency', 'documentation generation', 'documentation needed', 'documentation suggestion', 'doc suggestion', 'doc link']"
update,31,dependency update,562,630,"['dependency update', 'library update', 'update', 'self update', 'ci update', 'test update', 'dependencies update']"
ubsan error,2,test failure,1026,5337,"['test failure', 'runtime error', 'crash', 'panic', 'error', 'compile error', 'type error', 'build failure', 'error message', 'segfault', 'warning', 'assertionerror', 'runtimeerror', 'assertion failure', 'compilation error', 'build error', 'exception', 'import error', 'warnings', 'npe', 'assertion error', 'test failures', 'compiler crash', 'segmentation fault', 'ci test failure', 'internal error', 'compile time error', 'oom', 'runtime crash', 'rustc error', 'ci failure', 'api error', 'errors', 'download failure', 'error reporting', 'parse error', 'syntax error', 'startup failure', 'runtime errors', 'failure', 'server error', 'type crash', 'macro errors', 'parsing error', 'upload error', 'fatal error', 'task failure', 'import errors', 'nullpointerexception', 'internalerror', 'js error', 'rustc internal error', 'error page', 'runtime warning', 'validation error', 'attribute error', 'unit test failure', 'parser error', 'failure analysis', 'failure analyzer', 'outofmemoryerror', 'script error', 'ioexception', 'runtime exception', 'exception message', 'io error', 'import failure', 'keyerror', 'transient errors', 'logic error', 'function error', 'exceptions', 'linker error', 'region error', 'sql error', 'error report', 'deprecation warning', 'installation failure', 'testing failure', 'crash report', 'javascript error', 'java exception', 'crashes', 'unexpected error', 'internal server error', 'error messages', 'evaluation error', 'crash reporting', 'type: error message', 'compile failure', 'allocation error', 'logical error', 'rustc warning', 'linking error', 'compilation failure', 'rustc panic', 'lowering exception', 'oom error', 'sync failure', 'programming error', 'database error', 'vim internal error', 'recursive error', 'panics', 'load error', 'crash recovery', 'torch runtime error', 'recursion error', 'guard failure', 'warning messages', 'key error', 'cuda error', 'intermittent failure', 'memory error', 'io exception', 'classcastexception', 'network error', 'bounds error', 'integration test failure', 'error suggestion', 'segv', 'content error', 'unittest failure', 'filesystem error', 'push failure', 'publish failure', 'utf8 error', 'lint warning', 'cpp compile error', 'backend failure', 'name error', 'binding errors', 'math error', 'copy error', 'init error', 'ubsan error', 'sanitizer error']"
svelte compiler,9,compiler,1145,5148,"['compiler', 'compiler error', 'runtime', 'optimization', 'rustc', 'jit', 'compiler bug', 'compilation', 'llvm', 'torch compile', 'compile', 'reflection', 'compiler internal', 'compiler warning', 'runtime panic', 'cross compilation', 'f compiler', 'f compiler error', 'compiler lint', 't compiler', 'asm', 'compiler suggestion', 'svelte compiler', 'compiler optimization', 'compiler errors', 'compiling', 'assembly', 'pgo', 'compiler rt', 'msvc', 'compilers', 'cross compile', 'assembler', 'compiler feedback', 'compiler frontend', 'compiler panic', 'compiler builtins', 'a compiler', 'incremental compilation', 'angular compiler', 'area compiler', 'compiler issue', 'compile autograd', 'inlining', 'clang', 'disassembly', 'disassembler', 'rtti', 'compiler diagnostics', 'compile test', 'compiler intrinsic', 't compiler error', 'f compiler errors', 'f compiler internal', 'compiler warnings', 'compiler design', 'vectorization', 'c compiler', 'aot compilation', 'aot compiler', 'aot compile', 'pytorch compiler', 'pytorch compile', 'compiler specific', 'gcc', 'pip compile', 'uv pip compile', 'compiler internal error', 'deno compile', 'compiler interaction', 'internal compiler error', 'compiler regression', 'rustc llvm', 'compiler message', 'a llvm', 'compiler feature', 'torch compiler', 'dynamic compilation', 'torch jit', 'clang tidy', 'java compiler', 'rust compiler', 'runtime hints', 'runtime filter', 'jit compilation', 'go compiler', 'rustc compiler', 'compiler flags', 'deno runtime', 'mir optimization', 'cmd compile', 'domain: compiler', 'language compiler', 'llvm ir', 'topic: optimization', 'conditional compilation', 'compiler issues', 'compiler bugs', 'domain compiler', 'compiler features', 'compiler implementation', 'jit compiler', 'compiled autograd', 'pytorch optimization', 'dynamic compiler', 'php compiler', 'compiler optimizations', 'assembly language', 'compiler assertion', 'domain: runtime', 'deno compiler', 'compiler interpretation', 'compiler configuration', 'lto', 'compiler verification', 'backend compiler failed', 'category: compilation', 'type: optimization', 'domain: optimization', 'assembly disassembly', 'edge runtime', 'gccgo', 'compiler diagnostic', 'optimizations', 'compile fail', 'bytecode', 'template compiler']"
request,17,feature request,2225,2508,"['feature request', 'spring session', 'session', 'pull request', 'request mapping', 'pull requests', 'request body', 'request handling', 'cookie', 'bean post processing', 'cookies', 'request binding', 'response', 'pytorch feature request', 'type feature request', 'post processor', 'response format', 'request stats', 'request parameter', 'response handling', 'request', 'support request', 'os request', 'merge request', 'type: feature request', 'type:feature request', 'bean post processor', 'category:feature request', 'category feature request', 'feature requests', 'request response', 'ui request', 'doc request', 'documentation request']"
a rustdoc ui,7,ui,1340,2178,"['ui', 'component', 'gui', 'components', 'lifecycle', 'ui bug', 'ui issue', 'ui ux', 'component interaction', 'svelte component', 'ui enhancement', 'vscode ui', 'ui feedback', 'ui tests', 'a rustdoc ui', 'terminal ui', 'ui design', 'extension interaction', 'ui interaction', 'interaction', 'standalone components', 'ui component', 'ui feature', 'plugin interaction', 'ui components', 'domain: ui', 'component issue', 'component lifecycle', 'ui customization', 'ui appearance', 'standalone component', 'editor ui', 'ui test', 'component conflict', 'ui automation', 'component hydration', 'gui issue', 'ui preview', 'ui issues', 'ui suggestion', 'ui look and feel', 'ui a11y', 'ui glitch', 'ui bugs', 'feature interaction', 'svelte component interaction', 'vimscript interaction']"
package build,2,build,895,1334,"['build', 'workspace', 'package manager', 'build tools', 'packages', 'build tool', 'build tooling', 'build related', 'build info', 'project', 'workspaces', 'workspace trust', 'build id', 'release build', 'deno workspace', 'aux build', 'ci build', 'build backend', 'uv project', 'project setup', 'project structure', 'incremental build', 'go build', 'package', 'domain: build', 'project configuration', 'package configuration', 'project maintenance', 'sync package', 'go project', 'hugo build', 'domain: build tool', 'package build', 'insider build', 'canary build', 'mir build', 'build tool configuration', 'context packages', 'package versioning', 'internal package', 'multi root workspace', 'build pack', 'build helper', 'workspace package']"
api,829,api,829,1781,"['api', 'api change', 'extension api', 'rest', 'api design', 'pytorch api', 'rpc', 'api proposal', 'python api', 'rest api', 'node api', 'api documentation', 'api clarity', 'grpc', 'api compatibility', 'api enhancement', 'api breaking change', 'api reference', 'api deprecation', 'soap', 'api improvement', 'api behavior', 'api docs', 'uv api', 'api usage', 'api issue', 'api breaking', 'type api', 'api consistency', 'endpoint', 'api incompatibility', 'api request', 'api missing', 'api review', 'torch api', 'api removal', 'api update', 'next.js api', 'next api', 'api doc', 'c api', 'area api', 'type api change', 'endpoints', 'webservices', 'api testing', 'jsonrpc', 'internal api', 'v8 api', 'n api', 'unstable api', 'api stability', 'api regression', 'functional api', 'c++ api', 'api bug', 'tensor api', 'api upgrade', 'java api', 'api access', 'api integration', 'observer api', 'client api', 'pd api', 'domain: api', 'vscode api', 'api exposure', 'labels: api', 'elasticsearch api', 'domain: api design', 'topic: api', 'category: api', 'topic: api change', 'fetch api', 'type: api change', 'deprecated api', 'api keys', 'api mismatch', 'public api', 'api version', 'api client', 'api evolution', 'api suggestion', 'api compliance', 'api response', 'rest esql', 'search api', 'api use', 'rest assured', 'scroll api', 'servlet api']"
