representative_label_by_embedding,count,representative_label_by_count,count,total_count,cluster
bug,14650,bug,14650,15253,"['bug', 'compiler bug', 'type bug', 'rustc bug', 'type: bug', 'visual bug', 'bug fix', 'parser bug', 'documentation bug', 'bug report', 'language bug', 'feature bug', 'compilation bug', 'type system bug', 'bug introduction', 'type checking bug', 'bug fix request', 'bug fix version upgrade', 'decompiler bug', 'ghidra bug', 'minor bug', 'extension bug', 'production bug', 'functional bug', 'test bug']"
enhancement,1655,enhancement,1655,1757,"['enhancement', 'type: enhancement']"
documentation,2591,documentation,2591,2620,"['documentation', 'type: documentation', 'domain: documentation', 'category: documentation']"
update,31,dependency update,562,598,"['dependency update', 'update', 'extension update', 'dependencies update']"
test,546,test failure,1026,2167,"['test failure', 'test', 'integration test', 'test framework', 'spring test', 'test failures', 'test infrastructure', 'pytorch test', 'test explorer', 'test improvement', 'test missing', 'test related', 'compile test', 'test enhancement', 'test results', 'test coverage', 'runtime test', 'test case', 'test execution', 'test strategy', 'test integration', 'test annotation', 'test flakiness', 'test porting', 'functional test', 'build test', 'test environment', 'integration test failure', 'test update', 'aggregation test', 'disabled test', 'script test', 'test timeout', 'regression test', 'test order', 'test configuration', 'concurrent test', 'percentile test', 'metrics test', 'test context']"
compiler,1145,compiler,1145,1268,"['compiler', 'compiler internal', 'compiler suggestion', 'compiler optimization', 'compiler diagnostics', 'compiler intrinsic', 'pytorch compiler', 'compiler specific', 'compiler compatibility', 'compiler interaction', 'compiler regression', 'compiler feature', 'domain: compiler', 'language compiler', 'compiler features', 'compiler implementation', 'compiler optimizations', 'compiler assertion', 'compiler interpretation', 'compiler configuration', 'compiler verification', 'compiler diagnostic', 'template compiler']"
feature request,2225,feature request,2225,2277,"['feature request', 'pytorch feature request', 'type: feature request', 'category feature request', 'feature requests']"
ui,1340,ui,1340,1901,"['ui', 'ui bug', 'ui issue', 'ui enhancement', 'ui improvement', 'vscode ui', 'web ui', 'ui feedback', 'ui tests', 'a rustdoc ui', 'terminal ui', 'ui design', 'ui interaction', 'ui text', 'ui layout', 'ui rendering', 'ui component', 'ui feature', 'ui components', 'ui behavior', 'domain: ui', 'ui customization', 'ui appearance', 'editor ui', 'ui thread', 'ui test', 'ui automation', 'ui preview', 'ui issues', 'ui suggestion', 'ui look and feel', 'ui upgrade', 'ui request', 'ui change', 'ui a11y', 'ui glitch', 'ui bugs']"
build,895,build,895,1352,"['build', 'build system', 'build process', 'build performance', 'build related', 'release build', 'build isolation', 'incremental build', 'domain: build', 'build configuration', 'production build', 'package build']"
compiler error,493,compiler error,493,932,"['compiler error', 'runtime error', 'compiler errors', 'runtime errors', 'compiler internal error', 'internal compiler error']"
