representative_label_by_embedding,count,representative_label_by_count,count,total_count,cluster
bug,14650,bug,14650,15300,"['bug', 'compiler bug', 'type bug', 'bugs', 'rustc bug', 'type: bug', 'visual bug', 'bug fix', 'parser bug', 'documentation bug', 'bug report', 'language bug', 'compiler bugs', 'feature bug', 'compilation bug', 'type system bug', 'bug introduction', 'type checking bug', 'bug fix request', 'bug fix version upgrade', 'decompiler bug', 'ghidra bug', 'minor bug', 'extension bug', 'production bug', 'functional bug', 'test bug']"
enhancement,1655,enhancement,1655,1757,"['enhancement', 'type: enhancement']"
documentation,2591,documentation,2591,2622,"['documentation', 'type: documentation', 'domain: documentation', 'category: documentation', 'documentation generation']"
update,31,dependency update,562,610,"['dependency update', 'update', 'language update', 'extension update', 'extension updates', 'content update', 'copyright update', 'dependencies update']"
integration test,420,testing,1629,4035,"['test failure', 'testing', 'test', 'integration test', 'test framework', 'spring test', 'test runner', 'integration tests', 'test failures', 'test infrastructure', 'test suite', 'tests', 'pytorch test', 'smoke test', 'test explorer', 'test improvement', 'test missing', 'test related', 'compile test', 'test enhancement', 'unit testing', 'system tests', 'unit tests', 'unit test', 'test results', 'test coverage', 'runtime test', 'test case', 'test execution', 'unit test failure', 'test strategy', 'automation testing', 'test integration', 'test annotation', 'test flakiness', 'integration testing', 'domain: testing', 'testing failure', 'area: testing', 'topic: testing', 'testing infrastructure', 'snapshot testing', 'parallel testing', 'test porting', 'test flake', 'test logic', 'functional test', 'build test', 'functional tests', 'test environment', 'system test', 'integ test', 'randomized testing', 'integration test failure', 'test update', 'aggregation test', 'disabled test', 'script test', 'internal tests', 'skip test', 'test timeout', 'regression test', 'test order', 'test configuration', 'profile integ tests', 'concurrent test', 'aggregation tests', 'percentile test', 'metrics test', 'test context']"
compiler,1145,compiler,1145,1349,"['compiler', 'compiler behavior', 'compiler internal', 'compiler warning', 'compiler suggestion', 'compiler optimization', 'compilers', 'compiler feedback', 'compiler builtins', 'compiler diagnostics', 'compiler intrinsic', 'compiler warnings', 'compiler design', 'pytorch compiler', 'compiler specific', 'compiler compatibility', 'compiler interaction', 'compiler regression', 'compiler message', 'compiler feature', 'domain: compiler', 'language compiler', 'compiler features', 'compiler implementation', 'dynamic compiler', 'compiler optimizations', 'compiler assertion', 'compiler interpretation', 'compiler configuration', 'compiler verification', 'compiler diagnostic', 'template compiler']"
feature request,2225,feature request,2225,2316,"['feature request', 'pytorch feature request', 'request parameter', 'request', 'support request', 'type: feature request', 'type:feature request', 'category:feature request', 'category feature request', 'feature requests', 'request response', 'documentation request']"
ui,1340,ui,1340,2056,"['ui', 'ux', 'ui bug', 'ui issue', 'ui ux', 'ui enhancement', 'ui improvement', 'vscode ui', 'web ui', 'ui feedback', 'ui tests', 'a rustdoc ui', 'terminal ui', 'ui design', 'ui interaction', 'ui text', 'ui layout', 'ui rendering', 'ui component', 'ui feature', 'ui components', 'ux improvement', 'ui behavior', 'domain: ui', 'ui customization', 'ux feedback', 'ui appearance', 'ux issue', 'editor ui', 'ui thread', 'ui test', 'ui automation', 'ui preview', 'ui issues', 'ui suggestion', 'ui look and feel', 'ui upgrade', 'ui request', 'ui change', 'ui a11y', 'ui glitch', 'ui bugs']"
build,895,build,895,1711,"['build', 'build system', 'build failure', 'build process', 'build issue', 'build performance', 'build related', 'build issues', 'release build', 'build script', 'build backend', 'build isolation', 'incremental build', 'domain: build', 'build configuration', 'production build', 'package build', 'build problem', 'windows build', 'build output', 'build pack']"
error,270,compiler error,493,2495,"['compiler error', 'runtime error', 'error', 'compile error', 'type error', 'error message', 'error handling', 'compilation error', 'build error', 'import error', 'assertion error', 'internal error', 'compile time error', 'compiler errors', 'errors', 'error reporting', 'parse error', 'syntax error', 'runtime errors', 'server error', 'parsing error', 'upload error', 'fatal error', 'compiler internal error', 'import errors', 'internal compiler error', 'error page', 'validation error', 'attribute error', 'parser error', 'script error', 'transient errors', 'logic error', 'function error', 'region error', 'error report', 'javascript error', 'unexpected error', 'internal server error', 'error messages', 'evaluation error', 'type: error message', 'allocation error', 'logical error', 'linking error', 'programming error', 'database error', 'recursive error', 'torch runtime error', 'recursion error', 'memory error', 'network error', 'bounds error', 'error suggestion', 'content error', 'filesystem error', 'binding errors', 'ubsan error', 'sanitizer error']"
