representative_label_by_embedding,count,representative_label_by_count,count,total_count,cluster
bug fix,18,bug,14650,14747,"['bug', 'fix', 'bug fix', 'bug report', 'bugfix', 'feature bug', 'fix it', 'bug fix request', 'minor issue', 'minor bug', 'suggest fix', 'fix needed']"
improvement,316,enhancement,1655,1973,"['enhancement', 'improvement', 'general improvement']"
topic:documentation,2,documentation,2591,2655,"['documentation', 'reference manual', 'type: documentation', 'domain: documentation', 'domain:documentation', 'category: documentation', 'reference guide', 'topic/documentation', 'documentation generation', 'type:documentation', 'topic:documentation', 'reference docs', 'documentation needed', 'documentation suggestion', 'documentation request']"
dependencies,305,dependency upgrade,971,3174,"['dependency update', 'dependency upgrade', 'dependency management', 'dependency', 'dependency resolution', 'dependencies', 'dependency conflict', 'dependency injection', 'dependency issue', 'circular dependency', 'dependencyinjection', 'dependency issues', 'library dependency', 'dependencyupgrade', 'dependencymanagement', 'dependencyupdate', 'dependencyresolution', 'peer dependencies', 'dependency check', 'runtime dependency', 'dependency problem', 'external dependency', 'dev dependencies', 'optional dependencies', 'package dependency', 'type:dependency upgrade', 'domain: dependency management', 'domain:dependencies', 'third party dependency', 'dependency bump', 'topic:dependency management', 'cyclic dependency', 'missing dependency', 'transitive dependency', 'circular dependencies', 'upstream dependency', 'platform dependencies', 'dependencies upgrade', 'dependencies update', 'optional dependency']"
test failure,1026,test failure,1026,1227,"['test failure', 'flaky test', 'test failures', 'test flaky', 'test missing', 'test issue', 'test results', 'unit test failure', 'testing issue', 'testing failure', 'test/failure', 'unittest failure', 'flaky tests', 'test bug']"
compilers,4,compiler,1145,1849,"['compiler', 'compile time', 'compilation', 'compiler behavior', 'compile', 'compiler internal', 'cross compilation', 'compiler lint', 't compiler', 'compiler suggestion', 'compiler optimization', 'compiling', 'compiler rt', 'compilers', 'code optimization', 'cross compile', 'compiler feedback', 'compiler frontend', 'compiler builtins', 'a compiler', 'incremental compilation', 'cmd/compile', 'compiler diagnostics', 'compiler intrinsic', 't compiler error', 'compiler design', 'compilation time', 'compile time behavior', 'compiler specific', 'compiler interaction', 'compiler regression', 'compiler feature', 'dynamic compilation', 'java compiler', 'jit compilation', 'compiler flags', 'cmd compile', 'domain: compiler', 'language compiler', 'conditional compilation', 'domain compiler', 'compiler features', 'compiler implementation', 'jit compiler', 'dynamic compiler', 'compiler optimizations', 'compiler assertion', 'compiler interpretation', 'compiler configuration', 'compiler verification', 'category: compilation', 'compiler diagnostic', 'function compilation']"
feature proposal,2,feature request,2225,2771,"['feature request', 'feature', 'features', 'new feature', 'featurerequest', 'feature discussion', 'feature index', 'feature management', 'feature proposal', 'type: feature request', 'type:feature request', 'category:feature request', 'category feature request', 'feature requests', 'feature change']"
user interfaces,2,ui,1340,2037,"['ui', 'ux', 'user interface', 'user experience', 'usability', 'interface', 'ui ux', 'ui/ux', 'domain: user experience', 'user interfaces']"
build related,3,build,895,1786,"['build', 'build system', 'build failure', 'build process', 'buildpack', 'build error', 'build issue', 'buildpacks', 't build system', 'build related', 'build info', 'build issues', 'x/build', 'buildinfo', 'build id', 'buildmode', 'release build', 'build script', 'build configuration', 'topic:build', 'production build', 'package build', 'build problem', 'windows build', 'insider build', 'canary build', 'build mode', 'build tool configuration', 'build output', 'build pack']"
compiler issue,11,compiler error,493,1295,"['compiler error', 'compile error', 'compiler bug', 'linker', 'compiler warning', 'compilation error', 'compiler crash', 'compile time error', 'compiler errors', 'compiler panic', 'compiler issue', 'compiler warnings', 'compile time issue', 'compiler internal error', 'internal compiler error', 'compiler message', 'miscompile', 'runtime warning', 'compilererror', 'linker error', 'compilation issue', 'internalcompilererror', 'linker issue', 'compiler issues', 'compiler bugs', 'compilation bug', 'compile failure', 'compilation failure', 'linker problem', 'compile fail', 'cpp compile error', 'cpp issue']"
